Optimizer,N,M,Lambda,L2_Error,Model_Path
GD,400,400,0.1,0.19439173703543428,models\GD-400-400-0p1.pt
GD,400,400,10.0,,models\GD-400-400-10p0.pt
GD,400,400,1.0,0.15439423237120417,models\GD-400-400-1p0.pt
GD,400,400,50.0,,models\GD-400-400-50p0.pt
GD,5000,100,0.1,0.13421746304709856,models\GD-5000-100-0p1.pt
GD,5000,100,10.0,,models\GD-5000-100-10p0.pt
GD,5000,100,1.0,0.1699312369149377,models\GD-5000-100-1p0.pt
GD,5000,100,50.0,,models\GD-5000-100-50p0.pt
GD,5000,1000,0.1,0.9682872989911606,models\GD-5000-1000-0p1.pt
GD,5000,1000,10.0,,models\GD-5000-1000-10p0.pt
GD,5000,1000,1.0,0.11832434041019718,models\GD-5000-1000-1p0.pt
GD,5000,1000,50.0,,models\GD-5000-1000-50p0.pt
GD,5000,200,0.1,0.13873207996769593,models\GD-5000-200-0p1.pt
GD,5000,200,10.0,,models\GD-5000-200-10p0.pt
GD,5000,200,1.0,0.13281225577536687,models\GD-5000-200-1p0.pt
GD,5000,200,50.0,,models\GD-5000-200-50p0.pt
GD,5000,400,0.1,0.9971327971117822,models\GD-5000-400-0p1.pt
GD,5000,400,10.0,,models\GD-5000-400-10p0.pt
GD,5000,400,1.0,0.999993864587606,models\GD-5000-400-1p0.pt
GD,5000,400,50.0,,models\GD-5000-400-50p0.pt
LBFGS,1000,100,0.1,0.014503690875557817,models\LBFGS-1000-100-0p1.pt
LBFGS,1000,100,10.0,0.0007788746435130001,models\LBFGS-1000-100-10p0.pt
LBFGS,1000,100,1.0,0.004349115027336255,models\LBFGS-1000-100-1p0.pt
LBFGS,1000,100,50.0,0.00047853542047318626,models\LBFGS-1000-100-50p0.pt
LBFGS,1000,1000,0.1,0.011788715266852679,models\LBFGS-1000-1000-0p1.pt
LBFGS,1000,1000,10.0,0.0013259924059172811,models\LBFGS-1000-1000-10p0.pt
LBFGS,1000,1000,1.0,0.005045282448951763,models\LBFGS-1000-1000-1p0.pt
LBFGS,1000,1000,50.0,0.00028443971209554913,models\LBFGS-1000-1000-50p0.pt
LBFGS,1000,200,0.1,0.011566927941848716,models\LBFGS-1000-200-0p1.pt
LBFGS,1000,200,10.0,6619797.17746891,models\LBFGS-1000-200-10p0.pt
LBFGS,1000,200,1.0,0.00425937131347875,models\LBFGS-1000-200-1p0.pt
LBFGS,1000,200,50.0,0.0005674758684712389,models\LBFGS-1000-200-50p0.pt
LBFGS,1000,400,0.1,0.011539322816267905,models\LBFGS-1000-400-0p1.pt
LBFGS,1000,400,10.0,0.0010686643855367468,models\LBFGS-1000-400-10p0.pt
LBFGS,1000,400,1.0,0.005544031338867955,models\LBFGS-1000-400-1p0.pt
LBFGS,1000,400,50.0,0.0005269547121083127,models\LBFGS-1000-400-50p0.pt
LBFGS,2000,100,0.1,0.028081203760489632,models\LBFGS-2000-100-0p1.pt
LBFGS,2000,100,10.0,0.0008386938543551692,models\LBFGS-2000-100-10p0.pt
LBFGS,2000,100,1.0,0.004138398383668819,models\LBFGS-2000-100-1p0.pt
LBFGS,2000,100,50.0,0.0007439860691029323,models\LBFGS-2000-100-50p0.pt
LBFGS,2000,1000,0.1,0.0172033367628909,models\LBFGS-2000-1000-0p1.pt
LBFGS,2000,1000,10.0,0.02320926531804893,models\LBFGS-2000-1000-10p0.pt
LBFGS,2000,1000,1.0,0.002995653330257005,models\LBFGS-2000-1000-1p0.pt
LBFGS,2000,1000,50.0,0.0008141572585415748,models\LBFGS-2000-1000-50p0.pt
LBFGS,2000,200,0.1,0.01551770789596964,models\LBFGS-2000-200-0p1.pt
LBFGS,2000,200,10.0,0.0007260296156722535,models\LBFGS-2000-200-10p0.pt
LBFGS,2000,200,1.0,0.003684006971140215,models\LBFGS-2000-200-1p0.pt
LBFGS,2000,200,50.0,0.0004977068772812023,models\LBFGS-2000-200-50p0.pt
LBFGS,2000,400,0.1,0.014783600498271321,models\LBFGS-2000-400-0p1.pt
LBFGS,2000,400,10.0,0.0007888044851498449,models\LBFGS-2000-400-10p0.pt
LBFGS,2000,400,1.0,0.002547563391603826,models\LBFGS-2000-400-1p0.pt
LBFGS,2000,400,50.0,0.00041827575419862127,models\LBFGS-2000-400-50p0.pt
LBFGS,400,100,0.1,0.01455288368739407,models\LBFGS-400-100-0p1.pt
LBFGS,400,100,10.0,0.0012702197581116997,models\LBFGS-400-100-10p0.pt
LBFGS,400,100,1.0,0.0031018082937919037,models\LBFGS-400-100-1p0.pt
LBFGS,400,100,50.0,0.0005070438294113164,models\LBFGS-400-100-50p0.pt
LBFGS,400,1000,0.1,0.0051439791365478086,models\LBFGS-400-1000-0p1.pt
LBFGS,400,1000,10.0,0.0007594020664006863,models\LBFGS-400-1000-10p0.pt
LBFGS,400,1000,1.0,0.004554208256437569,models\LBFGS-400-1000-1p0.pt
LBFGS,400,1000,50.0,0.00048222003369056005,models\LBFGS-400-1000-50p0.pt
LBFGS,400,200,0.1,0.02639767437079773,models\LBFGS-400-200-0p1.pt
LBFGS,400,200,10.0,0.0009790724870264945,models\LBFGS-400-200-10p0.pt
LBFGS,400,200,1.0,0.00354161772620124,models\LBFGS-400-200-1p0.pt
LBFGS,400,200,50.0,0.0004756296734743354,models\LBFGS-400-200-50p0.pt
LBFGS,400,400,0.1,0.011762110961254133,models\LBFGS-400-400-0p1.pt
LBFGS,400,400,10.0,0.0008315498475704789,models\LBFGS-400-400-10p0.pt
LBFGS,400,400,1.0,0.0037005284508878963,models\LBFGS-400-400-1p0.pt
LBFGS,400,400,50.0,0.0005293537096801644,models\LBFGS-400-400-50p0.pt
LBFGS,5000,100,0.1,0.016092846015332615,models\LBFGS-5000-100-0p1.pt
LBFGS,5000,100,10.0,0.002102767921904329,models\LBFGS-5000-100-10p0.pt
LBFGS,5000,100,1.0,0.005033790725419275,models\LBFGS-5000-100-1p0.pt
LBFGS,5000,100,50.0,0.000589891378957785,models\LBFGS-5000-100-50p0.pt
LBFGS,5000,1000,0.1,0.011207063254168308,models\LBFGS-5000-1000-0p1.pt
LBFGS,5000,1000,10.0,0.0008178647316315994,models\LBFGS-5000-1000-10p0.pt
